"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Sleep","2023-06-28 04:35","2023-06-28 06:50","02:15",,,,
"Diaper","2023-06-28 04:25",,,,,"Poo:large",
"Feed","2023-06-28 04:16",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-28 04:12",,,,,"Both, poo:large",
"Sleep","2023-06-27 20:12","2023-06-28 04:00","07:48",,,,
"Diaper","2023-06-27 19:51",,,,,"Pee",
"Feed","2023-06-27 19:15",,,"Formula","Bottle","120ml",
"Sleep","2023-06-27 17:25","2023-06-27 18:05","00:40",,,,
"Diaper","2023-06-27 17:15",,,,,"Both, poo:small",
"Feed","2023-06-27 17:03",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-27 16:20",,,,,"Both, poo:large",
"Sleep","2023-06-27 14:30","2023-06-27 16:10","01:40",,,,
"Diaper","2023-06-27 14:26",,,,,"Both, poo:medium",
"Feed","2023-06-27 14:10",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-27 14:00",,,,,"Pee",
"Diaper","2023-06-27 12:40",,,,,"Both, poo:small",
"Sleep","2023-06-27 11:30","2023-06-27 12:35","01:05",,,,
"Diaper","2023-06-27 11:20",,,,,"Pee",
"Feed","2023-06-27 11:10",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-27 09:55",,,,,"Pee",
"Sleep","2023-06-27 09:28","2023-06-27 09:48","00:20",,,,
"Feed","2023-06-27 08:19",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-27 08:05",,,,,"Both, poo:large",
"Sleep","2023-06-27 07:00","2023-06-27 08:00","01:00",,,,
"Diaper","2023-06-27 06:42",,,,,"Both, poo:large",
"Diaper","2023-06-27 04:56",,,,,"Poo:small",
"Sleep","2023-06-27 04:45","2023-06-27 06:42","01:57",,,,
"Feed","2023-06-27 04:12",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-27 04:11",,,,,"Pee",
"Sleep","2023-06-26 20:26","2023-06-27 04:05","07:39",,,,
"Diaper","2023-06-26 20:00",,,,,"Pee",
"Feed","2023-06-26 19:20",,,"Formula","Bottle","95ml",
"Sleep","2023-06-26 18:05","2023-06-26 18:48","00:43",,,,
"Diaper","2023-06-26 17:40",,,,,"Poo:large",
"Feed","2023-06-26 17:22",,,"Formula","Bottle","120ml",
"Diaper","2023-06-26 17:14",,,,,"Both, poo:small",
"Sleep","2023-06-26 15:58","2023-06-26 16:38","00:40",,,,
"Feed","2023-06-26 14:53",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-26 14:50",,,,,"Pee",
"Sleep","2023-06-26 13:28","2023-06-26 14:42","01:14",,,,
"Diaper","2023-06-26 12:30",,,,,"Poo:large",
"Diaper","2023-06-26 12:15",,,,,"Both, poo:small",
"Feed","2023-06-26 12:00",,,"Formula","Bottle","140ml",
"Sleep","2023-06-26 10:58","2023-06-26 11:54","00:56",,,,
"Sleep","2023-06-26 10:28","2023-06-26 10:52","00:24",,,,
"Diaper","2023-06-26 10:00",,,,,"Both, poo:large",
"Diaper","2023-06-26 09:30",,,,,"Poo:large",
"Feed","2023-06-26 09:15",,,"Formula","Bottle","115ml",
"Diaper","2023-06-26 09:10",,,,,"Pee",
"Sleep","2023-06-26 07:23","2023-06-26 09:00","01:37",,,,
"Diaper","2023-06-26 07:02",,,,,"Poo",
"Diaper","2023-06-26 06:16",,,,,"Poo:large",
"Sleep","2023-06-26 06:00","2023-06-26 07:02","01:02",,,,
"Diaper","2023-06-26 05:51",,,,,"Poo:large",
"Feed","2023-06-26 05:36",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-26 05:30",,,,,"Both, poo:large",
"Sleep","2023-06-25 20:05","2023-06-26 05:30","09:25",,,,
"Feed","2023-06-25 19:29",,,"Formula","Bottle","120ml",
"Diaper","2023-06-25 18:45",,,,,"Both, poo:medium",
"Sleep","2023-06-25 18:30","2023-06-25 18:45","00:15",,,,
"Sleep","2023-06-25 17:45","2023-06-25 18:15","00:30",,,,
"Feed","2023-06-25 17:28",,,"Formula","Bottle","120ml",
"Diaper","2023-06-25 16:43",,,,,"Both",
"Diaper","2023-06-25 16:25",,,,,"Both, poo:large",
"Sleep","2023-06-25 15:53","2023-06-25 16:13","00:20",,,,
"Diaper","2023-06-25 15:40",,,,,"Poo",
"Feed","2023-06-25 14:57",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-25 14:23",,,,,"Pee",
"Sleep","2023-06-25 12:25","2023-06-25 14:20","01:55",,,,
"Feed","2023-06-25 12:06",,,"Formula","Bottle","5oz",
"Diaper","2023-06-25 11:30",,,,,"Pee",
"Sleep","2023-06-25 10:26","2023-06-25 10:58","00:32",,,,
"Diaper","2023-06-25 09:40",,,,,"Both, poo:large",
"Feed","2023-06-25 09:25",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-25 09:20",,,,,"Both",
"Diaper","2023-06-25 06:30",,,,,"Poo:small",
"Sleep","2023-06-25 06:30","2023-06-25 09:18","02:48",,,,
"Diaper","2023-06-25 05:57",,,,,"Both, poo:medium",
"Feed","2023-06-25 05:57",,,"Formula","Bottle","5oz",
"Sleep","2023-06-24 20:20","2023-06-25 05:50","09:30",,,,
"Diaper","2023-06-24 20:12",,,,,"Pee",
"Feed","2023-06-24 19:28",,,"Formula","Bottle","120ml",
"Diaper","2023-06-24 19:15",,,,,"Both, poo:medium",
"Sleep","2023-06-24 18:28","2023-06-24 18:49","00:21",,,,
"Diaper","2023-06-24 18:15",,,,,"Both, poo:medium",
"Feed","2023-06-24 17:31",,,"Formula","Bottle","115ml",
"Diaper","2023-06-24 17:25",,,,,"Both, poo:medium",
"Diaper","2023-06-24 16:56",,,,,"Pee",
"Sleep","2023-06-24 16:19","2023-06-24 16:50","00:31",,,,
"Sleep","2023-06-24 15:52","2023-06-24 16:16","00:24",,,,
"Diaper","2023-06-24 15:13",,,,,"Both, poo:medium",
"Feed","2023-06-24 14:52",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-24 14:41",,,,,"Pee",
"Sleep","2023-06-24 14:10","2023-06-24 14:45","00:35",,,,
"Sleep","2023-06-24 12:52","2023-06-24 13:37","00:45",,,,
"Diaper","2023-06-24 12:05",,,,,"Both, poo:medium",
"Feed","2023-06-24 11:39",,,"Formula","Bottle","4.5oz",
"Sleep","2023-06-24 10:50","2023-06-24 11:30","00:40",,,,
"Diaper","2023-06-24 10:40",,,,,"Both, poo:small",
"Diaper","2023-06-24 09:59",,,,,"Poo:large",
"Sleep","2023-06-24 09:08","2023-06-24 09:48","00:40",,,,
"Diaper","2023-06-24 08:30",,,,,"Both, poo:large",
"Feed","2023-06-24 08:15",,,"Formula","Bottle","4.5oz",
"Sleep","2023-06-24 07:08","2023-06-24 08:05","00:57",,,,
"Diaper","2023-06-24 06:58",,,,,"Both",
"Diaper","2023-06-24 04:45",,,,,"Both, poo:small",
"Sleep","2023-06-24 04:25","2023-06-24 06:54","02:29",,,,
"Feed","2023-06-24 04:01",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-24 04:00",,,,,"Both, poo:small",
"Diaper","2023-06-23 19:40",,,,,"Both, poo:medium",
"Sleep","2023-06-23 19:40","2023-06-24 03:50","08:10",,,,
"Feed","2023-06-23 19:11",,,"Formula","Bottle","4.3oz",
"Diaper","2023-06-23 19:00",,,,,"Pee",
"Sleep","2023-06-23 18:32","2023-06-23 18:42","00:10",,,,
"Diaper","2023-06-23 17:15",,,,,"Both, poo:large",
"Feed","2023-06-23 17:00",,,"Formula","Bottle","115ml",
"Sleep","2023-06-23 15:40","2023-06-23 16:45","01:05",,,,
"Sleep","2023-06-23 14:36","2023-06-23 15:29","00:53",,,,
"Diaper","2023-06-23 14:24",,,,,"Both, poo:large",
"Feed","2023-06-23 13:55",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-23 13:40",,,,,"Pee",
"Sleep","2023-06-23 12:34","2023-06-23 13:14","00:40",,,,
"Sleep","2023-06-23 12:02","2023-06-23 12:25","00:23",,,,
"Diaper","2023-06-23 11:40",,,,,"Both, poo:small",
"Feed","2023-06-23 10:50",,,"Formula","Bottle","4.5oz",
"Sleep","2023-06-23 09:45","2023-06-23 10:32","00:47",,,,
"Diaper","2023-06-23 09:35",,,,,"Both",
"Sleep","2023-06-23 09:05","2023-06-23 09:25","00:20",,,,
"Diaper","2023-06-23 08:35",,,,,"Both, poo:large",
"Feed","2023-06-23 08:06",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-23 08:00",,,,,"Both, poo:large",
"Diaper","2023-06-23 05:38",,,,,"Poo:small",
"Sleep","2023-06-23 05:20","2023-06-23 08:00","02:40",,,,
"Diaper","2023-06-23 05:15",,,,,"Poo:large",
"Feed","2023-06-23 04:45",,,"Formula","Bottle","110ml",
"Sleep","2023-06-22 21:37","2023-06-23 04:45","07:07",,,,
"Diaper","2023-06-22 21:08",,,,,"Both, poo:small",
"Feed","2023-06-22 20:50",,,"Formula","Bottle","90ml",
"Sleep","2023-06-22 19:47","2023-06-22 20:40","00:53",,,,
"Diaper","2023-06-22 19:20",,,,,"Pee",
"Diaper","2023-06-22 18:15",,,,,"Both",
"Feed","2023-06-22 18:04",,,"Formula","Bottle","140ml",
"Sleep","2023-06-22 16:53","2023-06-22 17:54","01:01",,,,
"Sleep","2023-06-22 16:08","2023-06-22 16:40","00:32",,,,
"Diaper","2023-06-22 15:55",,,,,"Both, poo:medium",
"Diaper","2023-06-22 15:40",,,,,"Pee",
"Feed","2023-06-22 15:31",,,"Formula","Bottle","4.5oz",
"Sleep","2023-06-22 15:00","2023-06-22 15:15","00:15",,,,
"Diaper","2023-06-22 14:30",,,,,"Pee",
"Diaper","2023-06-22 14:05",,,,,"Both, poo:medium",
"Feed","2023-06-22 13:15",,,"Formula","Bottle","105ml",
"Diaper","2023-06-22 13:05",,,,,"Both, poo:small",
"Sleep","2023-06-22 10:54","2023-06-22 13:05","02:11",,,,
"Diaper","2023-06-22 10:50",,,,,"Both, poo:small",
"Feed","2023-06-22 10:24",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-22 10:15",,,,,"Pee",
"Diaper","2023-06-22 09:15",,,,,"Both, poo:medium",
"Sleep","2023-06-22 08:16","2023-06-22 09:15","00:59",,,,
"Diaper","2023-06-22 08:07",,,,,"Both, poo:medium",
"Feed","2023-06-22 07:34",,,"Formula","Bottle","5oz",
"Diaper","2023-06-22 07:30",,,,,"Both, poo:large",
"Diaper","2023-06-22 04:28",,,,,"Poo:medium",
"Sleep","2023-06-22 04:10","2023-06-22 07:18","03:08",,,,
"Diaper","2023-06-22 04:01",,,,,"Both, poo:medium",
"Feed","2023-06-22 03:46",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-22 03:44",,,,,"Both, poo:medium","Red bumps"
"Sleep","2023-06-21 20:20","2023-06-22 03:40","07:20",,,,
"Diaper","2023-06-21 19:35",,,,,"Pee",
"Sleep","2023-06-21 19:10","2023-06-21 19:34","00:24",,,,
"Feed","2023-06-21 18:48",,,"Formula","Bottle","4.4oz",
"Sleep","2023-06-21 17:34","2023-06-21 17:48","00:14",,,,
"Diaper","2023-06-21 16:42",,,,,"Poo:large",
"Diaper","2023-06-21 16:30",,,,,"Both, poo:large",
"Feed","2023-06-21 16:14",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-21 16:10",,,,,"Pee",
"Sleep","2023-06-21 13:07","2023-06-21 16:05","02:58",,,,
"Feed","2023-06-21 12:42",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-21 12:40",,,,,"Both, poo:small",
"Diaper","2023-06-21 11:40",,,,,"Pee",
"Sleep","2023-06-21 10:55","2023-06-21 11:35","00:40",,,,
"Feed","2023-06-21 10:16",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-21 10:00",,,,,"Both, poo:medium",
"Sleep","2023-06-21 08:55","2023-06-21 09:25","00:30",,,,
"Feed","2023-06-21 08:01",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-21 08:00",,,,,"Both, poo:small",
"Sleep","2023-06-21 04:40","2023-06-21 07:47","03:07",,,,
"Diaper","2023-06-21 04:35",,,,,"Poo:large",
"Feed","2023-06-21 03:57",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-21 03:55",,,,,"Both, poo:small",
"Sleep","2023-06-20 21:17","2023-06-21 03:50","06:33",,,,
"Diaper","2023-06-20 21:07",,,,,"Both, poo:small",
"Feed","2023-06-20 20:23",,,"Formula","Bottle","115ml",
"Sleep","2023-06-20 19:30","2023-06-20 20:05","00:35",,,,
"Diaper","2023-06-20 18:40",,,,,"Both, poo:large",
"Feed","2023-06-20 18:08",,,"Formula","Bottle","135ml",
"Diaper","2023-06-20 18:05",,,,,"Both",
"Sleep","2023-06-20 16:17","2023-06-20 17:45","01:28",,,,
"Diaper","2023-06-20 16:00",,,,,"Both, poo:medium",
"Feed","2023-06-20 15:10",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-20 15:00",,,,,"Pee",
"Sleep","2023-06-20 14:15","2023-06-20 14:30","00:15",,,,
"Diaper","2023-06-20 13:07",,,,,"Both, poo:medium",
"Feed","2023-06-20 12:27",,,"Formula","Bottle","5oz",
"Diaper","2023-06-20 12:25",,,,,"Pee",
"Sleep","2023-06-20 10:15","2023-06-20 12:20","02:05",,,,
"Diaper","2023-06-20 09:35",,,,,"Both, poo:small",
"Feed","2023-06-20 08:57",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-20 08:52",,,,,"Both, poo:large",
"Sleep","2023-06-20 07:05","2023-06-20 08:40","01:35",,,,
"Diaper","2023-06-20 06:35",,,,,"Poo",
"Diaper","2023-06-20 06:17",,,,,"Both",
"Feed","2023-06-20 06:10",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-20 03:07",,,,,"Poo:medium",
"Sleep","2023-06-20 02:40","2023-06-20 06:12","03:32",,,,
"Feed","2023-06-20 02:23",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-20 02:20",,,,,"Pee",
"Sleep","2023-06-19 19:59","2023-06-20 02:15","06:15",,,,
"Diaper","2023-06-19 19:49",,,,,"Both, poo:small",
"Sleep","2023-06-19 19:32","2023-06-19 19:49","00:17",,,,
"Feed","2023-06-19 19:04",,,"Formula","Bottle","120ml",
"Diaper","2023-06-19 18:25",,,,,"Both, poo:small",
"Sleep","2023-06-19 17:41","2023-06-19 17:59","00:18",,,,
"Diaper","2023-06-19 17:32",,,,,"Pee",
"Feed","2023-06-19 16:52",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-19 16:50",,,,,"Pee",
"Diaper","2023-06-19 16:19",,,,,"Pee",
"Sleep","2023-06-19 14:12","2023-06-19 16:03","01:51",,,,
"Diaper","2023-06-19 14:05",,,,,"Both",
"Feed","2023-06-19 13:52",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-19 13:40",,,,,"Pee",
"Sleep","2023-06-19 13:10","2023-06-19 13:25","00:14",,,,
"Sleep","2023-06-19 12:24","2023-06-19 13:07","00:43",,,,
"Diaper","2023-06-19 12:06",,,,,"Both, poo:medium",
"Diaper","2023-06-19 11:35",,,,,"Poo:medium",
"Diaper","2023-06-19 11:21",,,,,"Both, poo:large",
"Feed","2023-06-19 11:05",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-19 11:00",,,,,"Pee",
"Sleep","2023-06-19 08:50","2023-06-19 10:57","02:07",,,,
"Diaper","2023-06-19 08:35",,,,,"Both",
"Feed","2023-06-19 08:07",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-19 08:00",,,,,"Both",
"Diaper","2023-06-19 07:45",,,,,"Both",
"Sleep","2023-06-19 05:30","2023-06-19 07:40","02:10",,,,
"Sleep","2023-06-19 05:00","2023-06-19 05:13","00:13",,,,
"Feed","2023-06-19 04:29",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-19 04:26",,,,,"Pee",
"Diaper","2023-06-19 04:13",,,,,"Poo:medium",
"Sleep","2023-06-18 20:10","2023-06-19 04:15","08:05",,,,
"Diaper","2023-06-18 19:53",,,,,"Pee",
"Sleep","2023-06-18 19:25","2023-06-18 19:52","00:26",,,,
"Feed","2023-06-18 19:10",,,"Formula","Bottle","90ml",
"Diaper","2023-06-18 19:00",,,,,"Both, poo:small",
"Sleep","2023-06-18 18:04","2023-06-18 18:28","00:23",,,,
"Diaper","2023-06-18 17:30",,,,,"Both, poo:medium",
"Feed","2023-06-18 17:10",,,"Formula","Bottle","125ml",
"Diaper","2023-06-18 16:45",,,,,"Both, poo:large",
"Sleep","2023-06-18 15:30","2023-06-18 16:10","00:40",,,,
"Diaper","2023-06-18 15:20",,,,,"Both, poo:large",
"Diaper","2023-06-18 15:00",,,,,"Both, poo:medium",
"Feed","2023-06-18 14:23",,,"Formula","Bottle","4.5oz",
"Sleep","2023-06-18 13:15","2023-06-18 13:55","00:40",,,,
"Diaper","2023-06-18 12:35",,,,,"Both, poo:large",
"Diaper","2023-06-18 11:50",,,,,"Poo:large",
"Feed","2023-06-18 11:50",,,"Formula","Bottle","140ml",
"Diaper","2023-06-18 11:40",,,,,"Both, poo:medium",
"Sleep","2023-06-18 10:40","2023-06-18 11:34","00:54",,,,
"Sleep","2023-06-18 10:06","2023-06-18 10:30","00:24",,,,
"Diaper","2023-06-18 09:25",,,,,"Both, poo:large",
"Feed","2023-06-18 08:43",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-18 08:40",,,,,"Poo:small",
"Sleep","2023-06-18 05:45","2023-06-18 08:20","02:35",,,,
"Diaper","2023-06-18 05:40",,,,,"Poo:large",
"Feed","2023-06-18 05:21",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-18 05:15",,,,,"Both, poo:small",
"Sleep","2023-06-17 20:17","2023-06-18 05:15","08:58",,,,
"Diaper","2023-06-17 20:08",,,,,"Pee",
"Feed","2023-06-17 19:23",,,"Formula","Bottle","100ml",
"Diaper","2023-06-17 18:59",,,,,"Both",
"Sleep","2023-06-17 18:31","2023-06-17 18:48","00:17",,,,
"Diaper","2023-06-17 18:00",,,,,"Both, poo:medium",
"Feed","2023-06-17 17:32",,,"Formula","Bottle","120ml",
"Diaper","2023-06-17 17:07",,,,,"Both, poo:medium",
"Sleep","2023-06-17 15:40","2023-06-17 17:06","01:26",,,,
"Feed","2023-06-17 15:23",,,"Formula","Bottle","105ml",
"Sleep","2023-06-17 14:54","2023-06-17 15:15","00:21",,,,
"Diaper","2023-06-17 14:38",,,,,"Both",
"Sleep","2023-06-17 14:38","2023-06-17 14:48","00:10",,,,
"Sleep","2023-06-17 13:39","2023-06-17 14:18","00:39",,,,
"Diaper","2023-06-17 13:26",,,,,"Both, poo:large",
"Feed","2023-06-17 12:38",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-17 12:25",,,,,"Pee",
"Sleep","2023-06-17 11:23","2023-06-17 12:00","00:36",,,,
"Diaper","2023-06-17 11:10",,,,,"Both, poo:medium",
"Feed","2023-06-17 10:01",,,"Formula","Bottle","140ml",
"Diaper","2023-06-17 09:59",,,,,"Both",
"Sleep","2023-06-17 07:20","2023-06-17 09:49","02:29",,,,
"Feed","2023-06-17 06:50",,,"Formula","Bottle","105ml",
"Diaper","2023-06-17 06:45",,,,,"Both, poo:large","Red bumps"
"Sleep","2023-06-17 04:07","2023-06-17 06:40","02:33",,,,
"Diaper","2023-06-17 04:00",,,,,"Both, poo:medium",
"Diaper","2023-06-17 03:17",,,,,"Both",
"Feed","2023-06-17 03:17",,,"Formula","Bottle","4.5oz",
"Sleep","2023-06-16 19:30","2023-06-17 03:15","07:45",,,,
"Diaper","2023-06-16 19:05",,,,,"Both, poo:small",
"Feed","2023-06-16 18:32",,,"Formula","Bottle","4.5oz",
"Sleep","2023-06-16 17:18","2023-06-16 17:33","00:15",,,,
"Diaper","2023-06-16 16:10",,,,,"Both, poo:large",
"Feed","2023-06-16 15:42",,,"Formula","Bottle","120ml",
"Diaper","2023-06-16 14:00",,,,,"Both, poo:small",
"Sleep","2023-06-16 13:35","2023-06-16 15:35","01:59",,,,
"Feed","2023-06-16 12:53",,,"Formula","Bottle","125ml",
"Diaper","2023-06-16 12:40",,,,,"Pee",
"Sleep","2023-06-16 11:44","2023-06-16 12:10","00:26",,,,
"Diaper","2023-06-16 11:30",,,,,"Pee",
"Feed","2023-06-16 10:26",,,"Formula","Bottle","140ml",
"Diaper","2023-06-16 10:20",,,,,"Pee",
"Diaper","2023-06-16 08:23",,,,,"Poo:medium",
"Sleep","2023-06-16 07:50","2023-06-16 10:20","02:30",,,,
"Feed","2023-06-16 07:30",,,"Formula","Bottle","125ml",
"Diaper","2023-06-16 07:25",,,,,"Both, poo:large",
"Feed","2023-06-16 06:50",,,"Formula","Bottle","105ml",
"Diaper","2023-06-16 04:30",,,,,"Poo:large",
"Sleep","2023-06-16 04:10","2023-06-16 07:23","03:13",,,,
"Feed","2023-06-16 03:48",,,"Formula","Bottle","120ml",
"Diaper","2023-06-16 03:46",,,,,"Pee",
"Sleep","2023-06-15 20:10","2023-06-16 03:46","07:36",,,,
"Diaper","2023-06-15 20:00",,,,,"Pee",
"Feed","2023-06-15 19:13",,,"Formula","Bottle","120ml",
"Diaper","2023-06-15 18:30",,,,,"Pee",
"Sleep","2023-06-15 17:55","2023-06-15 18:30","00:35",,,,
"Diaper","2023-06-15 17:38",,,,,"Both, poo:large",
"Feed","2023-06-15 16:40",,,"Formula","Bottle","135ml",
"Diaper","2023-06-15 16:35",,,,,"Both, poo:large",
"Sleep","2023-06-15 15:25","2023-06-15 16:16","00:51",,,,
"Diaper","2023-06-15 15:10",,,,,"Both, poo:small",
"Feed","2023-06-15 13:52",,,"Formula","Bottle","4.4oz",
"Diaper","2023-06-15 13:45",,,,,"Pee",
"Sleep","2023-06-15 12:25","2023-06-15 13:45","01:20",,,,
"Sleep","2023-06-15 11:37","2023-06-15 12:21","00:44",,,,
"Diaper","2023-06-15 11:30",,,,,"Both, poo:small",
"Feed","2023-06-15 10:32",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-15 10:15",,,,,"Both, poo:small",
"Sleep","2023-06-15 09:25","2023-06-15 10:00","00:35",,,,
"Diaper","2023-06-15 08:20",,,,,"Poo:large",
"Feed","2023-06-15 07:57",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-15 07:55",,,,,"Both, poo:medium",
"Diaper","2023-06-15 06:30",,,,,"Both",
"Diaper","2023-06-15 03:48",,,,,"Poo:small",
"Sleep","2023-06-15 03:28","2023-06-15 07:50","04:22",,,,
"Feed","2023-06-15 03:03",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-15 03:00",,,,,"Both, poo:small",
"Sleep","2023-06-14 20:30","2023-06-15 03:05","06:35",,,,
"Sleep","2023-06-14 19:35","2023-06-14 20:14","00:39",,,,
"Feed","2023-06-14 18:40",,,"Formula","Bottle","90ml",
"Sleep","2023-06-14 17:25","2023-06-14 17:55","00:30",,,,
"Feed","2023-06-14 17:15",,,"Formula","Bottle","60ml",
"Feed","2023-06-14 15:26",,,"Formula","Bottle","140ml","Threw up "
"Diaper","2023-06-14 15:15",,,,,"Pee",
"Sleep","2023-06-14 14:36","2023-06-14 14:47","00:11",,,,
"Diaper","2023-06-14 13:00",,,,,"Pee",
"Feed","2023-06-14 13:00",,,"Formula","Bottle","140ml",
"Sleep","2023-06-14 10:34","2023-06-14 12:50","02:16",,,,
"Diaper","2023-06-14 10:13",,,,,"Both, poo:medium",
"Feed","2023-06-14 09:29",,,"Formula","Bottle","135ml",
"Sleep","2023-06-14 08:23","2023-06-14 09:08","00:45",,,,
"Diaper","2023-06-14 08:00",,,,,"Both, poo:large",
"Feed","2023-06-14 07:06",,,"Formula","Bottle","130ml",
"Diaper","2023-06-14 07:00",,,,,"Both, poo:large",
"Diaper","2023-06-14 04:15",,,,,"Poo:large",
"Sleep","2023-06-14 04:05","2023-06-14 06:55","02:50",,,,
"Feed","2023-06-14 03:30",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-14 03:25",,,,,"Both, poo:small",
"Sleep","2023-06-13 21:50","2023-06-14 03:20","05:30",,,,
"Feed","2023-06-13 21:35",,,"Formula","Bottle","4oz",
"Sleep","2023-06-13 20:52","2023-06-13 21:30","00:37",,,,
"Diaper","2023-06-13 20:06",,,,,"Pee",
"Feed","2023-06-13 19:15",,,"Formula","Bottle","5oz","Threw up about 40 mins later after a diaper change"
"Diaper","2023-06-13 18:25",,,,,"Poo:medium",
"Sleep","2023-06-13 17:45","2023-06-13 18:15","00:29",,,,
"Feed","2023-06-13 17:15",,,"Formula","Bottle","125ml",
"Diaper","2023-06-13 17:11",,,,,"Pee",
"Sleep","2023-06-13 15:17","2023-06-13 17:05","01:47",,,,
"Diaper","2023-06-13 15:05",,,,,"Both, poo:small",
"Feed","2023-06-13 14:20",,,"Formula","Bottle","4oz",
"Sleep","2023-06-13 13:30","2023-06-13 14:10","00:40",,,,
"Diaper","2023-06-13 12:35",,,"Runny",,"Both, poo:large",
"Feed","2023-06-13 11:52",,,"Formula","Bottle","4.9oz",
"Diaper","2023-06-13 11:36",,,,,"Both",
"Sleep","2023-06-13 10:52","2023-06-13 11:30","00:38",,,,
"Diaper","2023-06-13 09:58",,,,,"Poo:medium",
"Feed","2023-06-13 09:23",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-13 09:15",,,,,"Both, poo:large",
"Diaper","2023-06-13 07:15",,,,,"Poo:small",
"Sleep","2023-06-13 07:05","2023-06-13 09:10","02:05",,,,
"Feed","2023-06-13 06:37",,,"Formula","Bottle","145ml",
"Diaper","2023-06-13 06:35",,,,,"Both, poo:large",
"Diaper","2023-06-13 03:27",,,,,"Poo",
"Sleep","2023-06-13 03:27","2023-06-13 06:30","03:02",,,,
"Feed","2023-06-13 02:38",,,"Formula","Bottle","4.5oz",
"Diaper","2023-06-13 02:35",,,,,"Pee",
"Sleep","2023-06-12 20:30","2023-06-13 02:25","05:55",,,,
"Diaper","2023-06-12 20:13",,,,,"Pee",
"Feed","2023-06-12 19:23",,,"Formula","Bottle","120ml",
"Diaper","2023-06-12 18:20",,,,,"Pee",
"Sleep","2023-06-12 17:50","2023-06-12 18:15","00:25",,,,
"Feed","2023-06-12 17:24",,,"Formula","Bottle","120ml",
"Sleep","2023-06-12 16:36","2023-06-12 17:05","00:29",,,,
"Sleep","2023-06-12 16:10","2023-06-12 16:31","00:21",,,,
"Diaper","2023-06-12 16:00",,,,,"Both, poo:small",
"Diaper","2023-06-12 15:35",,,,,"Both, poo:large",
"Feed","2023-06-12 14:51",,,"Formula","Bottle","145ml",
"Diaper","2023-06-12 14:48",,,,,"Pee",
"Sleep","2023-06-12 13:00","2023-06-12 14:45","01:45",,,,
"Diaper","2023-06-12 12:40",,,,,"Both, poo:medium",
"Feed","2023-06-12 11:52",,,"Formula","Bottle","145ml",
"Diaper","2023-06-12 11:40",,,,,"Pee",
"Sleep","2023-06-12 10:31","2023-06-12 11:16","00:45",,,,
"Feed","2023-06-12 09:08",,,"Formula","Bottle","125ml",
"Diaper","2023-06-12 09:05",,,,,"Pee",
"Sleep","2023-06-12 07:15","2023-06-12 09:00","01:45",,,,
"Diaper","2023-06-12 07:00",,,,,"Poo",
"Feed","2023-06-12 06:19",,,"Formula","Bottle","4.84oz",
"Diaper","2023-06-12 06:10",,,,,"Both, poo:large",
"Diaper","2023-06-12 02:21",,,,,"Poo:small",
"Sleep","2023-06-12 02:05","2023-06-12 06:00","03:54",,,,
"Feed","2023-06-12 01:37",,,"Formula","Bottle","4.5oz","Threw up a little "
"Diaper","2023-06-12 01:32",,,,,"Pee",
"Sleep","2023-06-11 19:55","2023-06-12 01:15","05:20",,,,
"Diaper","2023-06-11 19:45",,,,,"Pee",
